id,Level,asdf_id,gqid,shapeGroup,shapeID,shapeName,shapeType
"0",ADM2,"0","0",MEX,MEX-ADM2-50627088B82733856,Jesús María,ADM2
"1",ADM2,"1","1",MEX,MEX-ADM2-50627088B48066170,San Francisco de los Romo,ADM2
"2",ADM2,"2","2",MEX,MEX-ADM2-50627088B38754714,Aguascalientes,ADM2
"3",ADM2,"3","3",MEX,MEX-ADM2-50627088B98602464,San José de Gracia,ADM2
"4",ADM2,"4","4",MEX,MEX-ADM2-50627088B39054174,Rincón de Romos,ADM2
"5",ADM2,"5","5",MEX,MEX-ADM2-50627088B82259355,Tepezalá,ADM2
"6",ADM2,"6","6",MEX,MEX-ADM2-50627088B272398,Cosío,ADM2
"7",ADM2,"7","7",MEX,MEX-ADM2-50627088B62287339,Asientos,ADM2
"8",ADM2,"8","8",MEX,MEX-ADM2-50627088B22405209,Calvillo,ADM2
"9",ADM2,"9","9",MEX,MEX-ADM2-50627088B93130613,El Llano,ADM2
"10",ADM2,"10","10",MEX,MEX-ADM2-50627088B92199584,Pabellón de Arteaga,ADM2
"11",ADM2,"11","11",MEX,MEX-ADM2-50627088B3564985,Acambay de Ruíz Castañeda,ADM2
"12",ADM2,"12","12",MEX,MEX-ADM2-50627088B85440986,Aculco,ADM2
"13",ADM2,"13","13",MEX,MEX-ADM2-50627088B18546059,Almoloya de Alquisiras,ADM2
"14",ADM2,"14","14",MEX,MEX-ADM2-50627088B2965440,Almoloya de Juárez,ADM2
"15",ADM2,"15","15",MEX,MEX-ADM2-50627088B16197994,Almoloya del Río,ADM2
"16",ADM2,"16","16",MEX,MEX-ADM2-50627088B67630685,Amanalco,ADM2
"17",ADM2,"17","17",MEX,MEX-ADM2-50627088B50504056,Amatepec,ADM2
"18",ADM2,"18","18",MEX,MEX-ADM2-50627088B93748644,Atizapán,ADM2
"19",ADM2,"19","19",MEX,MEX-ADM2-50627088B2261231,Atlacomulco,ADM2
"20",ADM2,"20","20",MEX,MEX-ADM2-50627088B59319509,Calimaya,ADM2
"21",ADM2,"21","21",MEX,MEX-ADM2-50627088B65222688,Capulhuac,ADM2
"22",ADM2,"22","22",MEX,MEX-ADM2-50627088B87671530,Coatepec Harinas,ADM2
"23",ADM2,"23","23",MEX,MEX-ADM2-50627088B73216190,Chapa de Mota,ADM2
"24",ADM2,"24","24",MEX,MEX-ADM2-50627088B81351619,Chapultepec,ADM2
"25",ADM2,"25","25",MEX,MEX-ADM2-50627088B73100379,Donato Guerra,ADM2
"26",ADM2,"26","26",MEX,MEX-ADM2-50627088B60247083,Isidro Fabela,ADM2
"27",ADM2,"27","27",MEX,MEX-ADM2-50627088B4471995,Ixtapan de la Sal,ADM2
"28",ADM2,"28","28",MEX,MEX-ADM2-50627088B47921690,Ixtapan del Oro,ADM2
"29",ADM2,"29","29",MEX,MEX-ADM2-50627088B11460601,Ixtlahuaca,ADM2
"30",ADM2,"30","30",MEX,MEX-ADM2-50627088B49735485,Xalatlaco,ADM2
"31",ADM2,"31","31",MEX,MEX-ADM2-50627088B29974531,Jilotepec,ADM2
"32",ADM2,"32","32",MEX,MEX-ADM2-50627088B74045956,Jilotzingo,ADM2
"33",ADM2,"33","33",MEX,MEX-ADM2-50627088B81159815,Jiquipilco,ADM2
"34",ADM2,"34","34",MEX,MEX-ADM2-50627088B31901731,Jocotitlán,ADM2
"35",ADM2,"35","35",MEX,MEX-ADM2-50627088B47808515,Joquicingo,ADM2
"36",ADM2,"36","36",MEX,MEX-ADM2-50627088B54302168,Lerma,ADM2
"37",ADM2,"37","37",MEX,MEX-ADM2-50627088B85626412,Malinalco,ADM2
"38",ADM2,"38","38",MEX,MEX-ADM2-50627088B12175007,Metepec,ADM2
"39",ADM2,"39","39",MEX,MEX-ADM2-50627088B87915938,Mexicaltzingo,ADM2
